,clothing_type,category,price,discount,shop_outlet,delivery_date,order_date,revenue,customer_name,customer_email,Year,Month Number,Month Name,Day of the Week,day_type
0,men,accessories,113.84,6.15,Photobug,2022-06-20,2023-08-06,1102.01,Alfy Piborn,apiborn0@squarespace.com,2022,6,June,6,Weekend
1,men,accessories,60.62,49.47,Jetwire,2024-02-06,2022-01-01,5521.65,Demetra Stutely,dstutely1@wired.com,2024,2,February,5,Weekend
2,children,shirts,119.19,41.14,Edgewire,2022-06-03,2022-11-14,7252.86,Giselle Ruegg,gruegg2@weebly.com,2022,6,June,0,Weekday
3,men,shoes,43.19,12.5,Twitterbridge,2022-11-19,2024-08-01,4866.12,Sven Loughlin,sloughlin3@surveymonkey.com,2022,11,November,3,Weekday
4,women,accessories,116.46,28.74,Zoomlounge,2024-12-17,2024-01-29,2009.4,Cesya Boustead,cboustead4@nps.gov,2024,12,December,0,Weekday
5,men,pants,154.12,15.71,Shufflebeat,2023-03-24,2022-01-03,4343.05,Rollo Beiderbecke,rbeiderbecke5@upenn.edu,2023,3,March,0,Weekday
6,women,shirts,197.72,4.93,Gigaclub,2024-03-28,2022-03-17,3365.54,Anna-maria Milliere,amilliere6@weibo.com,2024,3,March,3,Weekday
7,children,pants,76.62,8.44,Tazz,2025-03-01,2024-07-17,1906.1,Leeann Dossett,ldossett7@omniture.com,2025,3,March,2,Weekday
8,women,pants,139.8,6.76,Mycat,2024-08-07,2022-10-01,3735.92,Idalina Klimas,iklimas8@wiley.com,2024,8,August,5,Weekend
9,men,accessories,137.37,13.81,Zoomdog,2022-05-17,2023-06-01,6348.41,Dorothy Alfonsini,dalfonsini9@youtu.be,2022,5,May,3,Weekday
10,men,accessories,62.52,26.63,Feedbug,2023-05-10,2022-11-14,7900.39,Charmaine Swatridge,cswatridgea@mozilla.org,2023,5,May,0,Weekday
11,women,shoes,185.96,0.9,Skimia,2025-01-31,2023-02-16,1971.21,Palmer Hoggin,phogginb@cpanel.net,2025,1,January,3,Weekday
12,men,pants,41.56,19.18,Thoughtstorm,2022-04-26,2022-12-26,6860.26,Jeffry Cuff,jcuffc@scribd.com,2022,4,April,0,Weekday
13,women,shoes,56.09,12.11,Eare,2024-11-30,2022-04-18,4574.48,Kerrin Dickons,kdickonsd@cyberchimps.com,2024,11,November,0,Weekday
14,children,shoes,93.37,20.07,Midel,2022-09-26,2024-02-24,9793.02,Laughton Menendez,lmenendeze@kickstarter.com,2022,9,September,5,Weekend
15,children,dresses,78.27,0.49,Feedbug,2022-12-18,2023-05-12,6874.89,Corrina Greensted,cgreenstedf@salon.com,2022,12,December,4,Weekday
16,men,shoes,56.5,24.58,Ntags,2023-03-07,2023-03-11,5003.36,Bel Oluwatoyin,boluwatoying@bbb.org,2023,3,March,5,Weekend
17,women,accessories,189.63,44.66,Oba,2022-10-15,2022-04-23,9455.11,Crystal Fulleylove,cfulleyloveh@creativecommons.org,2022,10,October,5,Weekend
18,children,dresses,93.89,11.03,Teklist,2022-06-26,2023-11-29,579.59,Chaunce Sporrij,csporriji@360.cn,2022,6,June,2,Weekday
19,children,shirts,125.06,29.45,Jaxspan,2022-03-02,2023-03-27,5026.23,Kalila Charopen,kcharopenj@sakura.ne.jp,2022,3,March,0,Weekday
20,women,dresses,157.63,45.62,Twinte,2023-11-12,2025-03-12,2966.23,Tymothy Sexton,tsextonk@barnesandnoble.com,2023,11,November,2,Weekday
21,women,dresses,183.49,25.14,Youspan,2022-07-01,2023-11-22,8723.35,Cord Hoodspeth,choodspethl@state.gov,2022,7,July,2,Weekday
22,children,accessories,21.91,45.58,Tavu,2023-02-09,2022-01-22,8728.01,Bonnie Halfhead,bhalfheadm@google.it,2023,2,February,5,Weekend
23,children,shoes,108.7,40.46,Babbleopia,2024-08-03,2022-10-10,3004.62,Corey Robus,crobusn@army.mil,2024,8,August,0,Weekday
24,men,dresses,131.43,22.42,Yodo,2022-04-19,2023-10-16,7457.31,Levin Lubbock,llubbocko@marketwatch.com,2022,4,April,0,Weekday
25,children,pants,68.31,7.59,Divavu,2022-06-11,2025-03-24,3959.59,Jeno Leonard,jleonardp@bloomberg.com,2022,6,June,0,Weekday
26,women,accessories,161.26,44.2,Eadel,2022-09-22,2024-07-12,9163.15,Obadias Rathmell,orathmellq@photobucket.com,2022,9,September,4,Weekday
27,children,accessories,49.77,24.83,Teklist,2025-03-27,2024-06-09,9139.56,Elwira Duckett,educkettr@wikispaces.com,2025,3,March,6,Weekend
28,men,accessories,194.37,31.86,Yamia,2023-02-20,2023-06-22,5171.8,Brod Sugarman,bsugarmans@ifeng.com,2023,2,February,3,Weekday
29,children,shoes,53.8,24.16,Realcube,2022-04-19,2023-01-05,5798.22,Tandie Frances,tfrancest@fc2.com,2022,4,April,3,Weekday
30,women,shirts,69.6,13.51,Skyvu,2022-04-28,2024-10-31,2647.25,Devon Niese,dnieseu@qq.com,2022,4,April,3,Weekday
31,women,dresses,111.95,36.99,Flipstorm,2022-02-24,2023-09-08,5255.26,Pyotr Lemanu,plemanuv@prlog.org,2022,2,February,4,Weekday
32,men,dresses,64.63,4.64,Tazz,2022-11-23,2025-03-08,1477.89,Serge Linger,slingerw@usgs.gov,2022,11,November,5,Weekend
33,women,shoes,173.52,49.76,Topicstorm,2023-10-02,2023-08-20,4265.66,Valaree Denizet,vdenizetx@fastcompany.com,2023,10,October,6,Weekend
34,men,pants,124.09,49.51,Kare,2024-06-23,2024-01-19,5735.45,Elwira Kirman,ekirmany@elpais.com,2024,6,June,4,Weekday
35,men,pants,155.1,20.53,Brightdog,2022-06-24,2023-06-07,8435.52,Myriam Itzchaky,mitzchakyz@vistaprint.com,2022,6,June,2,Weekday
36,children,dresses,136.31,37.45,Vidoo,2022-08-02,2023-10-25,1894.25,Daryn Spellard,dspellard10@ebay.co.uk,2022,8,August,2,Weekday
37,men,shoes,56.17,22.99,Skippad,2024-12-22,2022-01-14,2606.06,Earlie Haskett,ehaskett11@jalbum.net,2024,12,December,4,Weekday
38,women,accessories,127.61,7.94,Flashpoint,2024-02-04,2023-10-08,5366.63,Ardelis Hardesty,ahardesty12@sourceforge.net,2024,2,February,6,Weekend
39,children,dresses,23.18,13.7,Dynazzy,2022-10-05,2022-09-16,8873.5,Gibby Jachimczak,gjachimczak13@google.cn,2022,10,October,4,Weekday
40,men,shoes,66.46,35.41,Trunyx,2022-02-25,2024-03-10,2344.62,King Drysdall,kdrysdall14@taobao.com,2022,2,February,6,Weekend
41,children,shirts,73.1,31.72,Yakitri,2023-03-26,2024-02-26,1638.59,Julia Durnin,jdurnin15@usa.gov,2023,3,March,0,Weekday
42,children,accessories,96.72,19.0,Jatri,2023-10-20,2022-03-08,4256.99,Judas Hunstone,jhunstone16@free.fr,2023,10,October,1,Weekday
43,children,accessories,47.06,47.4,Dynava,2025-02-21,2023-11-04,249.27,Anderea Demchen,ademchen17@weibo.com,2025,2,February,5,Weekend
44,women,shoes,93.04,29.6,Mymm,2022-07-28,2023-01-23,8341.79,Shirley Denge,sdenge18@admin.ch,2022,7,July,0,Weekday
45,men,shoes,124.25,14.35,Mydeo,2025-02-19,2022-04-08,2816.04,Irma O' Mullan,io19@chicagotribune.com,2025,2,February,4,Weekday
46,children,pants,79.46,25.46,Dabshots,2024-04-16,2023-10-12,6326.67,Leonardo Wycherley,lwycherley1a@creativecommons.org,2024,4,April,3,Weekday
47,children,shoes,24.73,40.91,Brightbean,2022-05-09,2024-05-10,9926.56,Brennen Lambirth,blambirth1b@amazonaws.com,2022,5,May,4,Weekday
48,men,shirts,171.9,43.21,Rhynyx,2023-04-03,2023-02-06,6206.91,Bram Peery,bpeery1c@latimes.com,2023,4,April,0,Weekday
49,women,shoes,116.71,10.13,Jayo,2022-05-06,2022-03-02,9721.78,Kassey Smidmore,ksmidmore1d@webeden.co.uk,2022,5,May,2,Weekday
50,women,shoes,47.21,40.54,Trupe,2022-08-18,2023-04-23,8999.59,Jere Headley,jheadley1e@devhub.com,2022,8,August,6,Weekend
51,women,pants,55.84,32.74,Kwinu,2025-01-07,2024-04-15,6243.83,Floris Di Dello,fdi1f@dropbox.com,2025,1,January,0,Weekday
